unify name,binance name,okex name
HC.BTC,HCBTC,HC-BTC
HC.ETH,HCETH,
HC.USDT,HCUSDT,HC-USDT
HDAO.USDK,,HDAO-USDK
HDAO.USDT,,HDAO-USDT
HEGIC.BUSD,HEGICBUSD,
HEGIC.ETH,HEGICETH,HEGIC-ETH
HEGIC.USDT,,HEGIC-USDT
HIVE.BNB,HIVEBNB,
HIVE.BTC,HIVEBTC,
HIVE.USDT,HIVEUSDT,
HNT.BTC,HNTBTC,
HNT.USDT,HNTUSDT,
HOT.BNB,HOTBNB,
HOT.BTC,HOTBTC,
HOT.BUSD,HOTBUSD,
HOT.ETH,HOTETH,
HOT.EUR,HOTEUR,
HOT.TRY,HOTTRY,
HOT.USDT,HOTUSDT,
HYC.BTC,,HYC-BTC
HYC.ETH,,HYC-ETH
HYC.USDT,,HYC-USDT
ICX.BNB,ICXBNB,
ICX.BTC,ICXBTC,ICX-BTC
ICX.BUSD,ICXBUSD,
ICX.ETH,ICXETH,
ICX.USDT,ICXUSDT,ICX-USDT
IDEX.BTC,IDEXBTC,
IDEX.BUSD,IDEXBUSD,
INJ.BNB,INJBNB,
INJ.BTC,INJBTC,
INJ.BUSD,INJBUSD,
INJ.USDT,INJUSDT,
INS.BTC,INSBTC,
INS.ETH,INSETH,
INT.BTC,,INT-BTC
INT.ETH,,INT-ETH
INT.USDT,,INT-USDT
INX.USDT,,INX-USDT
IOST.BNB,IOSTBNB,
IOST.BTC,IOSTBTC,IOST-BTC
